nombre;id;rut;email;contrasena;permisoEspecial;cursos;paralelo
Juan Pérez;12;21.345.678-9;juan.perez@estudiante.com;Ju@nP3r3z!;false;Matemática 1, Física 2, Química, Robótica, Dibujo Técnico, Álgebra Lineal, Termodinámica;1
María López;13;21.567.890-1;maria.lopez@estudiante.com;M@r!aL0p3z22;false;Programación Avanzada, Álgebra Lineal, Robótica, Química, Física 2;2
Carlos García;14;21.789.012-3;carlos.garcia@estudiante.com;C@rl0sG4rc!a;false;Estática, Electromagnetismo, Química, Matemática 1, Física 2, Dibujo Técnico, Robótica;3
Ana Rodríguez;15;22.001.234-5;ana.rodriguez@estudiante.com;An@R0dr!gue7;false;Física 2, Robótica, Programación Avanzada, Álgebra Lineal, Dibujo Técnico, Química;2
José Martínez;16;22.123.456-7;jose.martinez@estudiante.com;J0s3M@rt!n3z;false;Química, Álgebra Lineal, Estática, Electromagnetismo, Robótica, Dibujo Técnico, Termodinámica;1
Laura Sánchez;17;22.345.678-9;laura.sanchez@estudiante.com;L@ur@S4nch3z;false;Robótica, Electromagnetismo, Termodinámica, Dibujo Técnico, Física 2, Química;3
David González;18;22.567.890-0;david.gonzalez@estudiante.com;D@vidG0nz@l3z;false;Física 2, Matemática 1, Álgebra Lineal, Química, Robótica, Dibujo Técnico;2
Carmen Díaz;19;22.789.012-2;carmen.diaz@estudiante.com;C@rm3nD!az88;false;Programación Avanzada, Estática, Robótica, Dibujo Técnico, Química;1
Javier Morales;20;23.001.234-4;javier.morales@estudiante.com;J@v!erM0r4l3s;false;Dibujo Técnico, Electromagnetismo, Química, Matemática 1, Física 2;3
Paula Hernández;21;23.123.456-6;paula.hernandez@estudiante.com;P@ul@H3rn@nd3z;false;Matemática 1, Física 2, Robótica, Dibujo Técnico, Estática;1
Luis Torres;22;23.345.678-8;luis.torres@estudiante.com;L#u1sT0rr3s;false;Álgebra Lineal, Química, Programación Avanzada, Electromagnetismo, Dibujo Técnico, Termodinámica;2
Sofia Romero;23;23.567.890-1;sofia.romero@estudiante.com;S0f!@R0m3r0;false;Física 2, Química, Matemática 1, Robótica, Estática;3
Miguel Ruiz;24;23.789.012-3;miguel.ruiz@estudiante.com;M!gu3lRuiZ#;false;Programación Avanzada, Dibujo Técnico, Álgebra Lineal, Robótica, Termodinámica;2
Elena Jiménez;25;21.890.123-4;elena.jimenez@estudiante.com;El3n@J!m3n3z;false;Química, Estática, Electromagnetismo, Dibujo Técnico, Física 2;1
Andrés Castro;26;21.234.567-8;andres.castro@estudiante.com;@ndr3sC@str0;false;Matemática 1, Física 2, Robótica, Dibujo Técnico, Química, Álgebra Lineal;3
Teresa Ortega;27;22.678.901-0;teresa.ortega@estudiante.com;T3r3s@0rt3g@;false;Álgebra Lineal, Programación Avanzada, Estática, Robótica, Química, Termodinámica;2
Fernando Vargas;28;22.890.123-2;fernando.vargas@estudiante.com;F3rn@nd0V@rg@s;false;Física 2, Electromagnetismo, Química, Dibujo Técnico, Robótica;1
Isabel Mendoza;29;22.234.567-8;isabel.mendoza@estudiante.com;Is@b3lM3nd0z4;false;Química, Matemática 1, Estática, Dibujo Técnico, Álgebra Lineal, Robótica;3
Sergio Castillo;30;22.678.901-3;sergio.castillo@estudiante.com;S3rg!0C@st!llo;false;Programación Avanzada, Robótica, Termodinámica, Álgebra Lineal, Dibujo Técnico, Química;1
Marta Ruiz;31;22.890.123-6;marta.ruiz@estudiante.com;M@rt@RuiZ!23;false;Estática, Física 2, Química, Dibujo Técnico, Robótica;2
Guillermo Silva;32;23.456.789-1;guillermo.silva@estudiante.com;Gu!ll3rm0S!lv@;false;Matemática 1, Programación Avanzada, Termodinámica, Robótica, Electromagnetismo;3
Lucia Ramírez;33;23.678.901-3;lucia.ramirez@estudiante.com;L@c!@R@m!r3z;false;Álgebra Lineal, Química, Física 2, Robótica, Dibujo Técnico;2
Alberto Morales;34;21.345.678-0;alberto.morales@estudiante.com;@lb3rt0M0r4l3s;false;Física 2, Electromagnetismo, Dibujo Técnico, Termodinámica, Robótica;1
Victoria Jiménez;35;21.567.890-5;victoria.jimenez@estudiante.com;V!ct0r!@J!m3n3z;false;Química, Robótica, Matemática 1, Estática, Dibujo Técnico;3
Felipe Paredes;36;21.789.012-1;felipe.paredes@estudiante.com;F3l!p3P@r3d3s;false;Programación Avanzada, Dibujo Técnico, Álgebra Lineal, Electromagnetismo, Química, Robótica;2
Valeria Aguirre;37;22.001.234-7;valeria.aguirre@estudiante.com;V@l3r!@Agu!rr3;false;Robótica, Estática, Física 2, Dibujo Técnico, Álgebra Lineal;1
Pablo Ríos;38;22.123.456-0;pablo.rios@estudiante.com;P@bl0R!0s77;false;Matemática 1, Química, Programación Avanzada, Dibujo Técnico, Física 2;3
Gabriela Soto;39;22.345.678-5;gabriela.soto@estudiante.com;G@bri3l@S0t0;false;Álgebra Lineal, Robótica, Electromagnetismo, Estática, Química, Dibujo Técnico;1
Diego Guerrero;40;22.567.890-9;diego.guerrero@estudiante.com;D!3g0G!u3rr3r0;false;Estática, Física 2, Robótica, Dibujo Técnico;2
Natalia Salazar;41;22.789.012-4;natalia.salazar@estudiante.com;N@t@l!@S@l@z4r;false;Matemática 1, Química, Programación Avanzada, Dibujo Técnico, Álgebra Lineal;3
